ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboTwin 2.0 usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RoboTwin2 Easy reported success rate,RoboTwin2 Hard reported success rate,RoboTwin2 Easy/Clean (50-clean train) previous SOTA success rate,RoboTwin2 Easy/Clean (50-clean train) previous SOTA name,RoboTwin2 Hard/Randomized (50-clean train) previous SOTA success rate,RoboTwin2 Hard/Randomized (50-clean train) previous SOTA name,RoboTwin2 Easy/Clean (50-clean+500-rand train) previous SOTA success rate,RoboTwin2 Easy/Clean (50-clean+500-rand train) previous SOTA name,RoboTwin2 Hard/Randomized (50-clean+500-rand train) previous SOTA success rate,RoboTwin2 Hard/Randomized (50-clean+500-rand train) previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
69,Fast-WAM: Do World Action Models Need Test-time Future Imagination?,2026,preprint/unknown,n/a,n/a,n/a,2603.16666,2026-03-17,source metadata publication date for arXiv 2603.16666,10.48550/arXiv.2603.16666,OpenAlex term search: 10.48550/arXiv.2506.18088; OpenAlex term search: 2506.18088; OpenAlex term search: RoboTwin 2; OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin 2.0 Clean; OpenAlex term search: RoboTwin 2.0 Randomized; OpenAlex term search: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: Robotwin 2.0; Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088; term match: 10.48550/arXiv.2506.18088; term match: 2506.18088; term match: RoboTwin 2; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Clean; term match: RoboTwin 2.0 Randomized; term match: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; term match: RoboTwin-2.0; term match: Robotwin 2.0,indexed-citation,https://www.semanticscholar.org/paper/b5be12ccbb037be57a1dbc03fbd43d379170055f; Semantic Scholar: b5be12ccbb037be57a1dbc03fbd43d379170055f; OpenAlex: W7139144683; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,not reported,"Fast-WAM reports RoboTwin 2.0 clean and randomized average success rates over 100 trials per task. Fast-WAM: Clean 91.88, Rand 91.78, Avg 91.8. Other averages: LingBot-VA 92.2, Motus 87.8, pi0.5 79.8, pi0 62.2; ablations include Fast-WAM-Joint 90.6, Fast-WAM-IDM 91.3, and Fast-WAM without video co-training 83.8.",91.88,91.78,,,,,92.90,LingBot-VA,91.50,LingBot-VA,"subagent result audit usage_numbers_batch_02.json: Cached arXiv text 2603.16666, RoboTwin setup states 2,500 clean and 25,000 randomized demonstrations spanning over 50 tasks and average success rates over 100 trials per task under clean and randomized settings. Table 1 reports Clean, Rand, and Avg columns.",high,number-associated weight available,https://huggingface.co/yuanty/fastwam,"subagent checkpoint audit weights_batch_02.json: The Fast-WAM project/paper reports RoboTwin results and the Hugging Face paper page links model yuanty/fastwam. That model card says it hosts checkpoints for the Fast-WAM paper, and the file listing includes fast-wam checkpoints for aloha_agilex and franka embodiments plus normalizers. Large files were not downloaded.",high,"subagent result audit usage_numbers_batch_02.json: Cached arXiv text 2603.16666, RoboTwin setup states 2,500 clean and 25,000 randomized demonstrations spanning over 50 tasks and average success rates over 100 trials per task under clean and randomized settings. Table 1 reports Clean, Rand, and Avg columns.",high,official-ish,Reports RoboTwin 2.0 Clean and Randomized average success rates over the benchmark tasks with the clean-plus-randomized demonstration setting.
70,FieldGen: From Teleoperated Pre-Manipulation Trajectories to Field-Guided Data Generation,2025,arXiv.org,n/a,n/a,n/a,2510.20774,2025-10-23,source metadata publication date for arXiv 2510.20774,10.48550/arXiv.2510.20774,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/9a84b8d1ff053d52e05b3501dfbd11c87841a7cd; Semantic Scholar: 9a84b8d1ff053d52e05b3501dfbd11c87841a7cd; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2510.20774; snippet: ough procedural generation and domain randomization. These systems achieve unprecedented scale by parallelizing data collection across multiple simulated environments and automatically varying object properties, lighting conditions, and scene configurations. Recent advances have pushed simulation-based generation to new scales. RoboTwin 2.0 [ 4 ] provides a comprehensive benchmark with diverse manipulation tasks, while HumanoidGen [ 20 ] focuses specifically on bimanual dexterous manipulation. These platforms demonstrate the potential for generating vast quantities of training data that would be impossible to collect through teleoperation...",medium,,
71,FocusVLA: Focused Visual Utilization for Vision-Language-Action Models,2026,preprint/unknown,n/a,n/a,n/a,2603.28740,2026-03-30,source metadata publication date for arXiv 2603.28740,10.48550/arXiv.2603.28740,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/dcb2a3f85bf682722913d3c69bd9b38403b3cfd0; Semantic Scholar: dcb2a3f85bf682722913d3c69bd9b38403b3cfd0; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,not reported; evaluation uses 100 Easy trials and 300 Hard trials per task,"Appendix Table 5 reports detailed success rates on the RoboTwin benchmark. FocusVLA reports average success 58 on Easy and 15 on Hard across seven tasks. Baselines include DP 19/1, pi0 31/6, and VLA-Adapter 32/8.",58,15,,,,,,,,,2026-05-11 second-pass audit: training steps and evaluation trials were separated from demonstration count; Appendix Table 5 still supports the 58 Easy / 15 Hard averages.,high,unclear,,2026-05-11 result reclassification pass did not separately audit reported-number checkpoint availability.,low,"2026-05-11 subagent result audit: cached full text 2603.28740.txt, Figure 6 and Appendix Table 5, reports RoboTwin success rates.",high,otherwise,"Reports Easy and Hard averages across seven selected RoboTwin tasks, not the standard full Easy/Clean or Hard/Randomized aggregate."
72,ForeRobo: Unlocking Infinite Simulation Data for 3D Goal-driven Robotic Manipulation,2025,arXiv.org,n/a,n/a,n/a,2511.04381,2025-11-06,source metadata publication date for arXiv 2511.04381,10.48550/arXiv.2511.04381,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/08f1a34bac06e383ca04123a50bc585e338b58b9; Semantic Scholar: 08f1a34bac06e383ca04123a50bc585e338b58b9; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2511.04381; snippet: nce is detailed in the Appendix. We observe that in most object manipulation tasks, rotations typically occur after translations. For instance, in the task of “Lift the kettle above the cup and tilt it to pour water”, the kettle must first be translated above the cup before tilting to avoid spilling. Existing approaches such as Robotwin [ 29 ] [ 30 ] leverage the encoding capability of large language models (LLMs) to generate constraint-satisfying robot motion programs, but they rely on detecting the object’s affordance regions. To address this, we propose a translation-prioritized motion planning method that enforces rotations to lag behind...",medium,,
73,FRAPPE: Infusing World Modeling into Generalist Policies via Multiple Future Representation Alignment,2026,arXiv.org,n/a,n/a,n/a,2602.17259,2026-02-19,source metadata publication date for arXiv 2602.17259,10.48550/arXiv.2602.17259,OpenAlex term search: RoboTwin 2; Semantic Scholar citation graph; Semantic Scholar term search: RoboTwin 2,RoboTwin 2.0 arXiv 2506.18088; term match: RoboTwin 2,indexed-citation,https://www.semanticscholar.org/paper/3855a68555e2287fc729bae81e829fa78dc24266; Semantic Scholar: 3855a68555e2287fc729bae81e829fa78dc24266; OpenAlex: W7130699384; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,not reported,Table 1 compares methods on RoboTwin 2.0 over four tasks in Easy and Hard settings. FRAPPE reports average success rates of 57.5% Easy and 25.5% Hard.,57.5,25.5,57.1,pi0,15.1,RDT,,,,,"2026-05-11 subagent result audit: cached full text 2602.17259.txt, Table 1, compares methods on RoboTwin 2.0.",high,unclear,,2026-05-11 result reclassification pass did not separately audit reported-number checkpoint availability.,low,"2026-05-11 subagent result audit: cached full text 2602.17259.txt, Table 1, compares methods on RoboTwin 2.0.",high,otherwise,"Reports Easy and Hard averages across four selected RoboTwin 2.0 tasks, not the standard Easy/Clean or Hard/Randomized aggregate."
74,From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models,2026,preprint/unknown,n/a,n/a,n/a,2605.04678,2026-05-06,source metadata publication date for arXiv 2605.04678,10.48550/arXiv.2605.04678,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/7f7c6573424ec49b986a8f5a4d5f87d896edd364; Semantic Scholar: 7f7c6573424ec49b986a8f5a4d5f87d896edd364,reports-results,robotwin2,not reported,"From Pixels to Tokens reports a four-task RoboTwin 2.0 subset following the official protocol. Table 2 average success rates: LA-Tok 78.0, LA-Cond 73.8, LA-Direct 71.8, LA-Align 70.5, Baseline 60.5, DP3 71.0, pi0 64.0, RDT 47.0, ACT 40.3. LA-Tok task values: Move playingcard away 89, Place Container Plate 89, Move Can Pot 70, Pick Dual Bottles 64.",,,,,,,,,,,"subagent result audit usage_numbers_batch_02.json: Cached arXiv text 2605.04678, RoboTwin paragraph says a 4-task subset is evaluated following official evaluation protocols. Table 2 caption says success rates (%) on RoboTwin 2.0 and lists the averages and task scores.",high,number-associated weight available,https://huggingface.co/CokeAnd1ce/From_Pixels_to_Tokens/tree/main/robotwin_hf/LA_Tok%2Baloha,"subagent checkpoint audit weights_batch_02.json: The From Pixels to Tokens paper reports LA-Tok on a four-task RoboTwin 2.0 subset with a 78.0 average. The official GitHub README links simulation benchmark checkpoints on Hugging Face, and the HF robotwin_hf/LA_Tok+aloha directory contains public model.safetensors/config/norm-stat files. Large files were not downloaded.",high,"subagent result audit usage_numbers_batch_02.json: Cached arXiv text 2605.04678, RoboTwin paragraph says a 4-task subset is evaluated following official evaluation protocols. Table 2 caption says success rates (%) on RoboTwin 2.0 and lists the averages and task scores.",high,otherwise,"Reports a four-task RoboTwin 2.0 subset average, not a standard 50-task Easy/Clean or Hard/Randomized aggregate."
75,From Seeing to Simulating: Generative High-Fidelity Simulation with Digital Cousins for Generalizable Robot Learning and Evaluation,2026,preprint/unknown,n/a,n/a,n/a,2604.15805,2026-04-17,source metadata publication date for arXiv 2604.15805,10.48550/arXiv.2604.15805,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/57391c3072a13a6757c811b7d031a071e5158899; Semantic Scholar: 57391c3072a13a6757c811b7d031a071e5158899; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2604.15805; snippet: tendra Malik, Pieter Abbeel, Russ Tedrake, Vincent Sitzmann, and Yilun Du. Large video planner enables generalizable robot control, 2025a. URL https://arxiv.org/abs/2512.15840 . Chen et al. [2025b] Tianxing Chen, Zanxin Chen, Baijun Chen, Zijian Cai, Yibin Liu, Qiwei Liang, Zixuan Li, Xianliang Lin, Yiheng Ge, Zhenyu Gu, et al. Robotwin 2.0: A scalable data generator and benchmark with strong domain randomization for robust bimanual robotic manipulation. arXiv preprint arXiv:2506.18088 , 2025b. Chen and Medioni [1992] Yang Chen and Gérard Medioni. Object modelling by registration of multiple range images. Image and Vision Computing ,...",medium,,
76,Future Optical Flow Prediction Improves Robot Control & Video Generation,2026,arXiv.org,n/a,n/a,n/a,2601.10781,2026-01-15,source metadata publication date for arXiv 2601.10781,10.48550/arXiv.2601.10781,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/5e451560f40eac1f5f46f3d81e8eb8f2d5a87502; Semantic Scholar: 5e451560f40eac1f5f46f3d81e8eb8f2d5a87502; S2 citation contexts available,reports-results,robotwin2-easy,not reported,The paper reports RoboTwin 2.0 easy-setting evaluation over five tasks. FOFPred reports an average success rate of 68.6.,68.6,,,,,,,,,,2026-05-11 subagent result audit: cached full text 2601.10781.txt reports RoboTwin 2.0 easy-setting evaluation.,high,unclear,,2026-05-11 result reclassification pass did not separately audit reported-number checkpoint availability.,low,2026-05-11 subagent result audit: cached full text 2601.10781.txt reports RoboTwin 2.0 easy-setting evaluation.,high,otherwise,"Reports Easy-setting success on five selected RoboTwin 2.0 tasks, not the standard 50-task Easy/Clean aggregate."
77,GarmentPile++: Affordance-Driven Cluttered Garments Retrieval with Vision-Language Reasoning,2026,preprint/unknown,n/a,n/a,n/a,2603.04158,2026-03-04,source metadata publication date for arXiv 2603.04158,10.48550/arXiv.2603.04158,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/9c1a077da07e39166ab36b3315661434d25c9a1e; Semantic Scholar: 9c1a077da07e39166ab36b3315661434d25c9a1e; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Citation graph edge exists, but automated abstract/arXiv full-text audit found no RoboTwin benchmark-result context; cached arXiv HTML text for 2603.04158.",low,,
78,Generative Control as Optimization: Time Unconditional Flow Matching for Adaptive and Robust Robotic Control,2026,preprint/unknown,n/a,n/a,n/a,2603.17834,2026-03-18,source metadata publication date for arXiv 2603.17834,10.48550/arXiv.2603.17834,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/bead4e40b0071bc673fb84a4e5674da3825fae35; Semantic Scholar: bead4e40b0071bc673fb84a4e5674da3825fae35; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,not reported,"GeCO reports RoboTwin 2.0 success rates (%) for five tasks under Easy and Hard. Average Easy/Hard: pi0+GeCO 50.0/28.0, pi0 49.0/18.0, ACT 49.0/7.0. pi0+GeCO task scores Easy|Hard: Adjust Bottle 86.0|66.0, Beat Block Hammer 52.0|36.0, Blocks Ranking Size 0.0|0.0, Click Alarmclock 72.0|16.0, Click Bell 42.0|21.0.",50,28,,,,,,,,,"subagent result audit usage_numbers_batch_02.json: Cached arXiv text 2603.17834, Table 2 caption says success rate (%) on RoboTwin 2.0, each task evaluated under Easy and Hard, average across five tasks. Text also states GeCO improves Hard average from 0.18 to 0.28 and Easy from 0.49 to 0.50.",high,not-found,,"subagent checkpoint audit weights_batch_02.json: The GeCO paper reports RoboTwin results and points to the project page for video/code. The project page currently has Paper/arXiv/OpenReview links, while Code and Video buttons are placeholders marked coming soon; it does not provide weights/checkpoints. Hugging Face search for GeCO returned unrelated models, and no public GeCO checkpoint tied to the RoboTwin result was found.",medium,"subagent result audit usage_numbers_batch_02.json: Cached arXiv text 2603.17834, Table 2 caption says success rate (%) on RoboTwin 2.0, each task evaluated under Easy and Hard, average across five tasks. Text also states GeCO improves Hard average from 0.18 to 0.28 and Easy from 0.49 to 0.50.",high,otherwise,"Reports Easy/Hard success on five selected RoboTwin 2.0 tasks, so the averages are subset results rather than standard 50-task aggregates."
79,Genie Envisioner: A Unified World Foundation Platform for Robotic Manipulation,2025,arXiv.org,n/a,n/a,n/a,2508.05635,2025-08-07,source metadata publication date for arXiv 2508.05635,10.48550/arXiv.2508.05635,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/cc446fc0a6c6f4f331f7e914f33f2cc42f1d991e; Semantic Scholar: cc446fc0a6c6f4f331f7e914f33f2cc42f1d991e,reports-results,robotwin2,50 demonstrations per task,"Table 1 includes a RoboTwin2.0 row and Figure 11 reports RoboTwin generalization. The results are nonstandard VOC/figure results, so Easy/Hard success cells are left blank pending manual figure extraction.",,,,,,,,,,,"2026-05-11 second-pass audit: GE-Act is fine-tuned on four RoboTwin tasks with 200 demos total, i.e. 50 demonstrations per task; Figure 11 is the RoboTwin-specific evidence.",medium,unclear,,2026-05-11 result reclassification pass did not separately audit reported-number checkpoint availability.,low,2026-05-11 subagent result audit: cached full text 2508.05635.txt includes a RoboTwin2.0 row in Table 1 and RoboTwin generalization in Figure 11.,medium,otherwise,"Reports nonstandard RoboTwin generalization after four-task fine-tuning, not a standard Easy/Clean or Hard/Randomized evaluation."
80,Genie Sim 3.0 : A High-Fidelity Comprehensive Simulation Platform for Humanoid Robot,2026,arXiv.org,n/a,n/a,n/a,2601.02078,2026-01-05,source metadata publication date for arXiv 2601.02078,10.48550/arXiv.2601.02078,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/e197fa33aa930838f241a17dabe93bf9413cd36b; Semantic Scholar: e197fa33aa930838f241a17dabe93bf9413cd36b; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2601.02078; snippet: te robust policy generalization. RoboCasa [ undeft ] offers more than 100,000 trajectories, yet its scenes are predominantly confined to kitchen settings; DexGraspNet 2 [ undefu ] contains over 400 million demonstrations but focuses solely on grasping actions without dynamic scene variations or more complex manipulation skills; RoboTwin 2.0 [ undefv ] encompasses over 100,000 bimanual manipulation trajectories across 50 tasks, but the physical and visual fidelity of its simulation environment remains notably constrained. II-B Robotics Benchmark Benchmarks are essential for assessing model performance, yet creating high-quality benchmarks...",medium,,
81,Genie Sim PanoRecon: Fast Immersive Scene Generation from Single-View Panorama,2026,preprint/unknown,n/a,n/a,n/a,2604.07105,2026-04-08,source metadata publication date for arXiv 2604.07105,10.48550/arXiv.2604.07105,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/8dd77bfc4972cb632801fe5843b9112d7c5f7e9b; Semantic Scholar: 8dd77bfc4972cb632801fe5843b9112d7c5f7e9b; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2604.07105; snippet: l by Intrinsic Stochasticity of Real-Time Simulation in Reinforcement Learning for Robot Manipulation”, 2023 arXiv: https://arxiv.org/abs/2304.06056 [undefc] Elie Aljalbout et al. “The Reality Gap in Robotics: Challenges, Solutions, and Best Practices”, 2025 arXiv: https://arxiv.org/abs/2510.20808 [undefd] Tianxing Chen et al. “RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation”, 2025 arXiv: https://arxiv.org/abs/2506.18088 [undefe] Ran Gong et al. “AnyTask: an Automated Task and Data Generation Framework for Advancing Sim-to-Real Policy Learning”, 2026 arXiv:...",medium,,
82,Gentle Manipulation of Long-Horizon Tasks Without Human Demonstrations,2026,IEEE Robotics and Automation Letters,IEEE Robotics and Automation Letters,venue metadata from index,medium,,n/a,n/a,10.1109/LRA.2026.3653406,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/ae0b857afdc287d68259c385a25c96091cf0b971; Semantic Scholar: ae0b857afdc287d68259c385a25c96091cf0b971; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"2026-05-11 term/status audit: no arXiv external ID was found for this closed IEEE RA-L article, but Semantic Scholar citation context uses RoboTwin as a definition/source rather than as benchmark evaluation.",medium,,
83,GigaWorld-0: World Models as Data Engine to Empower Embodied AI,2025,arXiv.org,n/a,n/a,n/a,2511.19861,2025-11-25,source metadata publication date for arXiv 2511.19861,10.48550/arXiv.2511.19861,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/078b530b3dd7b3dcd50b8764087453280fd7a2a6; Semantic Scholar: 078b530b3dd7b3dcd50b8764087453280fd7a2a6,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2511.19861; snippet: l object configurations. To address this, GigaWorld-0-3D-Act introduces a two-tiered action generation pipeline tailored to both simple and complex manipulation scenarios, as shown in Fig. 11 . For simple scenarios , GigaWorld-0-3D-Act first acquires a small set of basic demonstrations via teleoperation or rule-based policies ( robotwin ) . These seed trajectories are then systematically extended to new object poses and scene layouts using the MimicGen framework ( mimicgen ) , enabling scalable and geometrically consistent action augmentation without additional human supervision. For complex scenarios involving multi-step reasoning or...",medium,,
84,GigaWorld-Policy: An Efficient Action-Centered World--Action Model,2026,ArXiv.org,n/a,n/a,n/a,2603.17240,2026-03-18,source metadata publication date for arXiv 2603.17240,10.48550/arXiv.2603.17240,OpenAlex term search: 2506.18088; OpenAlex term search: RoboTwin 2; OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin 2.0 Clean; OpenAlex term search: RoboTwin 2.0 Randomized; OpenAlex term search: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: Robotwin 2.0; arXiv term search: RoboTwin 2.0; arXiv term search: RoboTwin-2.0; arXiv term search: Robotwin 2.0,manual full-text/arXiv audit: cites RoboTwin 2.0 arXiv seed; term match: 2506.18088; term match: RoboTwin 2; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Clean; term match: RoboTwin 2.0 Randomized; term match: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; term match: RoboTwin-2.0; term match: Robotwin 2.0,manual-citation,https://openalex.org/W7139144001; OpenAlex: W7139144001,reports-results,robotwin2-easy; robotwin2-hard,50 clean + 500 randomized demonstrations per task,"GigaWorld-Policy reports RoboTwin 2.0 Clean and Rand success rates over 100 test episodes. Appendix full Table 8 average row: Our 0.86 Clean and 0.85 Rand, Motus 0.89/0.87, X-VLA 0.73/0.73, pi0.5 0.43/0.44. The main table text is slightly inconsistent for the clean average, showing Our around 0.87 in one table and 0.86 in the full appendix table.",86,85,,,,,89,Motus,87,Motus,"subagent result audit usage_numbers_batch_02.json: Cached arXiv text 2603.17240, simulation setup states 2,500 clean demonstrations, 50 per task, and 25,000 randomized demonstrations, 500 per task, with 100 test episodes. Appendix Table 8 average row reports Our 0.86 Clean and 0.85 Rand; main Table 2 reports the same benchmark with a slight clean-average discrepancy.",medium,weight-but-not-for-number,,"subagent checkpoint audit weights_batch_02.json: The GigaWorld-Policy project page has a Models link to the open-gigaai Hugging Face org, where related GigaWorld/GigaBrain/VLA models are listed. However, I found no GigaWorld-Policy checkpoint tied to the reported RoboTwin result; the official GitHub roadmap still has blank entries for Full Model & Data Release, HuggingFace Checkpoints, and Pre-trained Weights, and HF search for GigaWorld-Policy returned no model.",medium,"subagent result audit usage_numbers_batch_02.json: Cached arXiv text 2603.17240, simulation setup states 2,500 clean demonstrations, 50 per task, and 25,000 randomized demonstrations, 500 per task, with 100 test episodes. Appendix Table 8 average row reports Our 0.86 Clean and 0.85 Rand; main Table 2 reports the same benchmark with a slight clean-average discrepancy.",medium,official-ish,Reports full RoboTwin 2.0 Clean and Rand success averages using 50 clean plus 500 randomized demonstrations per task.
85,Global Prior Meets Local Consistency: Dual-Memory Augmented Vision-Language-Action Model for Efficient Robotic Manipulation,2026,Open MIND,Open MIND,venue metadata from index,medium,2602.20200,2026-02-22,source metadata publication date for arXiv 2602.20200,10.48550/arxiv.2602.20200,OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin 2.0 Hard; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: Robotwin 2.0; arXiv term search: RoboTwin 2.0; arXiv term search: RoboTwin 2.0 Hard; arXiv term search: RoboTwin-2.0; arXiv term search: Robotwin 2.0,manual full-text/arXiv audit: cites RoboTwin 2.0 arXiv seed; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Hard; term match: RoboTwin-2.0; term match: Robotwin 2.0,manual-citation,https://openalex.org/W7131374383; OpenAlex: W7131374383,reports-results,robotwin2-hard,50,"OptimusVLA reports RoboTwin 2.0 Hard results. Main Table 3, over eight tasks and 100 rollouts, reports average Hard success: OptimusVLA 38, pi0.5 29, pi0 25, RDT 20, DP3 11, ACT 2, DP 1. OptimusVLA task scores in the main table: 31, 46, 35, 48, 4, 37, 45, 58. Appendix Table 7 expands to 16 Hard tasks and reports OptimusVLA average 30.",,38,,,,,,,,,"subagent result audit usage_numbers_batch_02.json: Cached arXiv text 2602.20200, abstract says 38% average success on RoboTwin 2.0 Hard. Table 3 caption says per-task success rates over 100 rollouts under Hard setting and lists average 38 for OptimusVLA. Appendix D.1 states the protocol uses 50 clean expert demonstrations per task and 100 rollouts under Easy and Hard, while this paper selects 16 tasks and tests Hard; Appendix Table 7 reports a 16-task average of 30.",medium,not-found,,subagent checkpoint audit weights_batch_02.json: The OptimusVLA project page links the official JiuTian-VL/OptimusVLA repository. That repository currently says code is coming soon and does not expose public checkpoint/model files or release assets; Hugging Face search for OptimusVLA returned no model.,medium,"subagent result audit usage_numbers_batch_02.json: Cached arXiv text 2602.20200, abstract says 38% average success on RoboTwin 2.0 Hard. Table 3 caption says per-task success rates over 100 rollouts under Hard setting and lists average 38 for OptimusVLA. Appendix D.1 states the protocol uses 50 clean expert demonstrations per task and 100 rollouts under Easy and Hard, while this paper selects 16 tasks and tests Hard; Appendix Table 7 reports a 16-task average of 30.",medium,otherwise,"Reports Hard success on selected 8- and 16-task RoboTwin 2.0 subsets, not a standard 50-task Hard/Randomized aggregate."
86,GSWorld: Closed-Loop Photo-Realistic Simulation Suite for Robotic Manipulation,2025,arXiv.org,n/a,n/a,n/a,2510.20813,2025-10-23,source metadata publication date for arXiv 2510.20813,10.48550/arXiv.2510.20813,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/935a8586ea05ae1d59efaca83f537025b6111822; Semantic Scholar: 935a8586ea05ae1d59efaca83f537025b6111822; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Citation graph edge exists, but automated abstract/arXiv full-text audit found no RoboTwin benchmark-result context; cached arXiv HTML text for 2510.20813.",low,,
