ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,SimplerEnv usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Google Robot / Fractal VM,Google Robot / Fractal VA,WidowX / Bridge,Google Robot / Fractal VM previous SOTA success rate,Google Robot / Fractal VM previous SOTA name,Google Robot / Fractal VA previous SOTA success rate,Google Robot / Fractal VA previous SOTA name,WidowX / Bridge previous SOTA success rate,WidowX / Bridge previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
11,Atomic-Probe Governance for Skill Updates in Compositional Robot Policies,2026,preprint/unknown,n/a,n/a,n/a,2604.26689,2026-04-29,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/27c9ab0827bbfbed9d444df665d441f663943801; https://arxiv.org/abs/2604.26689,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Local full text /tmp/simplerenv_audit/s2_texts/27c9ab0827bbfbed9d444df665d441f663943801.txt cites Li et al. arXiv:2405.05941 as reference [28] at lines 671-674 and says recent benchmarks evaluate generalist policies in simulation at lines 1062-1068. The paper's own experiments are six robosuite tasks, lines 145-150, not SimplerEnv.",high,,
12,Benchmarking Affordance Generalization with BusyBox,2026,arXiv.org,Eval & Deploy Workshop at CoRL 2025,Subagent verified Eval & Deploy Workshop at CoRL 2025 metadata.,high,2602.05441,2026-02-05,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.05441,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/fb44a7dc013849b42adb48b045833fce54cb547a; https://arxiv.org/abs/2602.05441; DOI 10.48550/arXiv.2602.05441; https://openalex.org/W7128096159,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
13,Beyond Binary Success: Sample-Efficient and Statistically Rigorous Robot Policy Comparison,2026,preprint/unknown,n/a,n/a,n/a,2603.13616,2026-03-13,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/545f75bcc3e74e1bc0e3d7ae020fcb0884869d72; https://arxiv.org/abs/2603.13616,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
14,Beyond Dense Futures: World Models as Structured Planners for Robotic Manipulation,2026,preprint/unknown,n/a,n/a,n/a,2603.12553,2026-03-13,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/f0ed1870e3570952ba2841c248dc48f09914f245; https://arxiv.org/abs/2603.12553; https://openalex.org/W7137041198; https://openalex.org/W7138824784,reports-results,widowx-bridge,not reported,WidowX / Bridge=75.0,,,75.0,,,,,69.8,UniVLA,Independent subagent full-text/result audit verified: WidowX / Bridge=75.0,high,number-associated weight available,https://huggingface.co/Minham/StructVLA/tree/main/STRUCTVLA_BRIDGE_20K,"The tracked number is StructVLA's SimplerEnv-WidowX average of 75.0. The paper/project report 75.0 on SimplerEnv-WidowX, state that StructVLA is trained on BridgeData V2 for SimplerEnv, and specify the action policy stage is trained for 20k steps. The official GitHub README explicitly labels STRUCTVLA_BRIDGE_20K as the SimplerEnv policy checkpoint, and Hugging Face metadata lists the STRUCTVLA_BRIDGE_20K safetensors shard files and index.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=75.0,high,official-ish,"Reports an explicit standard SimplerEnv WidowX / Bridge success-rate result, 75.0."
15,Breaking Lock-In: Preserving Steerability under Low-Data VLA Post-Training,2026,preprint/unknown,n/a,n/a,n/a,2604.23121,2026-04-25,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/adf1b5338d41181f163306090407c6631baee755; https://arxiv.org/abs/2604.23121,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Local full text /tmp/simplerenv_audit/s2_texts/adf1b5338d41181f163306090407c6631baee755.txt cites the SimplerEnv seed as reference [16] at lines 535-537. The paper states it builds a new evaluation suite with four LIBERO-based simulation tasks and four DROID real-world tasks at lines 111-113 and 299-304, with simulation setup from LIBERO at lines 797-798.",high,,
16,BridgeV2W: Bridging Video Generation Models to Embodied World Models via Embodiment Masks,2026,arXiv.org,n/a,n/a,n/a,2602.03793,2026-02-03,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.03793,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/7ab66b64cecb641b64e91be79d43ed34ebf97f60; https://arxiv.org/abs/2602.03793; DOI 10.48550/arXiv.2602.03793,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
17,Capturing Visual Environment Structure Correlates with Control Performance,2026,arXiv.org,International Conference on Learning Representations (ICLR 2026),Subagent verified ICLR 2026 accepted venue metadata.,high,2602.04880,2026-02-04,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.04880,Semantic Scholar citation graph; OpenAlex term search: SIMPLER Google Robot Bridge; OpenAlex term search: SIMPLER WidowX; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/2e5ccc038a1686372c2610e1ba1ee861adbb4f0b; https://arxiv.org/abs/2602.04880; DOI 10.48550/arXiv.2602.04880; https://openalex.org/W7128097501,reports-results,simplerenv-result-unattributed,50 demonstrations per task,Reports SimplerEnv benchmark results with 50 demonstrations per task; no clean VM/VA/WidowX suite average was attributable.,,,,,,,,,,Subagent verified result table/protocol and ICLR 2026 venue; no clean suite average was reported.,high,coming-soon-no-download-link,,"The tracked row records SimplerEnv benchmark results/correlation analyses with 50 demonstrations per task but no clean suite average. The paper says code and models are available at the project page, but the current official project page has disabled buttons labeled Code (Coming Soon) and Models (Coming Soon). I found no GitHub or Hugging Face model listing for CVESC / Capturing Visual Environment Structure, and the OpenReview supplementary is a zip attachment rather than a public checkpoint listing.",high,Subagent verified result table/protocol and ICLR 2026 venue; no clean suite average was reported.,high,otherwise,"Uses SimplerEnv-derived Google/WidowX environments for custom proxy and backbone-correlation analysis, with custom demos and no attributable standard suite success-rate number."
18,Chain Of Interaction Benchmark (COIN): When Reasoning meets Embodied Interaction,2026,preprint/unknown,n/a,n/a,n/a,2604.16886,2026-04-18,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/2db8fd1b4f178a7dbd71e84617d69132942bc5eb; https://arxiv.org/abs/2604.16886,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"arXiv:2604.16886 Table 1 lists SimplerEnv benchmark metadata only: Tasks=10, Demos=N/A, Avg. Steps=52.3. The 52.3 value is average steps, not a policy success rate; no SimplerEnv evaluation result is reported by COIN.",high,,
19,Chain of World: World Model Thinking in Latent Motion,2026,preprint/unknown,n/a,n/a,n/a,2603.03195,2026-03-03,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph; OpenAlex term search: SIMPLER Google Robot Bridge; OpenAlex term search: SIMPLER WidowX; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/f9234e389eba3db0a85bc24b388d9fc7dc6249ff; https://arxiv.org/abs/2603.03195; https://openalex.org/W7133570346,reports-results,google-fractal-vm; widowx-bridge,not reported,Google Robot / Fractal VM=60.9; WidowX / Bridge=76.0,60.9,,76.0,59.7,villa-X,,,74.0,FlowVLA,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=60.9; WidowX / Bridge=76.0,high,number-associated weight available,https://huggingface.co/hitfx/CoWVLA/tree/main/CoWVLA_SIMPLERENV_BRIDGE_WIDOWX_BS128_12K,"The official CoWVLA README/project page report the tracked SimplerEnv-WidowX average of 76.0, and the official Hugging Face model repository contains a directory named CoWVLA_SIMPLERENV_BRIDGE_WIDOWX_BS128_12K with sharded safetensors and training state metadata. I did not find an analogous public Google Robot/Fractal checkpoint for the row's 60.9 value, so the available number-associated artifact corresponds to the tracked WidowX/Bridge number.",high,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=60.9; WidowX / Bridge=76.0,high,official-ish,Reports standard SimplerEnv Google Robot / Fractal VM and WidowX / Bridge success-rate results.
20,Complexity-Aware Policy via Heterogeneous Experts for Robotic Manipulation,2026,IEEE transactions on circuits and systems for video technology (Print),IEEE transactions on circuits and systems for video technology (Print),Subagent verified accepted venue metadata.,high,,n/a,n/a,10.1109/TCSVT.2025.3637139,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/febcb38aca8936c4f24484d5d3932fd1b18c0fdf; DOI 10.1109/TCSVT.2025.3637139; https://openalex.org/W4416649663,reports-results,simplerenv-result-unattributed,not reported,"Semantic Scholar/OpenAlex metadata and snippets state that CAP evaluates on SimplerEnv and on both Google Robot and WidowX platforms, and the abstract claims state-of-the-art performance on SimplerEnv. No open full text/PDF was available to verify exact table or figure values.",,,,,,,,,,"Local /tmp/simplerenv_audit/s2_fulltext_summary.json for paperId febcb38aca8936c4f24484d5d3932fd1b18c0fdf has download_status=no-pdf but includes contexts: evaluation spans CALVIN, LIBERO, and SimplerEnv, and SimplerEnv is evaluated on both Google Robot and WidowX platforms. OpenAlex fulltext_summary also has no PDF/text path.",low,not-found,,"OpenAlex and Semantic Scholar identify the IEEE TCSVT paper but show no open repository full text or openAccessPdf. DBLP/ORCID/OpenReview metadata confirm the work but do not expose a project, code, release, model card, or checkpoint. Exact-title GitHub repository search returned zero repositories and Hugging Face model search for the title/CAP terms returned no relevant model.",medium,"S2 snippets plus abstract metadata support that the work reports SimplerEnv benchmark results, but no free full text was available for exact suite audit.",medium,unclear,"2026-05-23 xhigh protocol recheck: accessible metadata mentions SimplerEnv use, but first-hand full-text/table evidence was not accessible to verify whether the result follows a standard Google Robot / Fractal or WidowX / Bridge protocol."
21,ConLA: Contrastive Latent Action Learning from Human Videos for Robotic Manipulation,2026,arXiv.org,n/a,n/a,n/a,2602.00557,2026-01-31,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.00557,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/36f25cf98cec366674cbd0911ce72ae377ce087b; https://arxiv.org/abs/2602.00557; DOI 10.48550/arXiv.2602.00557,reports-results,widowx-bridge,25 successful trajectories per task,WidowX / Bridge=64.6,,,64.6,,,,,63.5,ACTIONVLA,Independent subagent full-text/result audit verified: WidowX / Bridge=64.6,high,coming-soon-no-download-link,,"The arXiv paper states that code and data are available at the official WeishengDAI/ConLA repository. The repository currently contains only README.md saying 'Coming soon...', no tags, no releases, and no checkpoint/model files in a shallow no-LFS-smudge clone. Hugging Face model search for ConLA returned no relevant model.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=64.6,high,official-ish,"Reports an explicit standard SimplerEnv WidowX / Bridge success-rate result, 64.6."
22,Contact-Anchored Policies: Contact Conditioning Creates Strong Robot Utility Models,2026,arXiv.org,n/a,n/a,n/a,2602.09017,2026-02-09,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.09017,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/9643a05449d0f471fac2cade791776e9149a4f23; https://arxiv.org/abs/2602.09017; DOI 10.48550/arXiv.2602.09017,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
23,CORAL: Scalable Multi-Task Robot Learning via LoRA Experts,2026,preprint/unknown,n/a,n/a,n/a,2603.09298,2026-03-10,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph; OpenAlex term search: SIMPLER Google Robot Bridge; OpenAlex term search: SIMPLER WidowX,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/8bec1bb5a4ff53f811bfb9f67acdd2d1a94480dc; https://arxiv.org/abs/2603.09298; https://openalex.org/W7134992946,reports-results,google-fractal-va; widowx-bridge,not reported,Google Robot / Fractal VA=84.9; WidowX / Bridge=97.9,,84.9,97.9,,,77.0,SimVLA [3] (Baseline),95.8,X-VLA / SimVLA [3] (Baseline),Independent subagent full-text/result audit verified: Google Robot / Fractal VA=84.9; WidowX / Bridge=97.9,high,weight-but-not-for-number,,"The project page reports the tracked CORAL Simpler-Bridge/WidowX 97.9 and Simpler-Fractal/Google 84.9 numbers, and the method depends on task-specific LoRA experts. The official GitHub repo provides code and LIBERO training instructions only; its inference server expects a local --lora-dir and GitHub releases are empty. Related SimVLA base model pages exist, but I found no public CORAL SimplerEnv LoRA expert/checkpoint files corresponding to the tracked WidowX or Google results.",high,Independent subagent full-text/result audit verified: Google Robot / Fractal VA=84.9; WidowX / Bridge=97.9,high,official-ish,Reports standard SimplerEnv Google Robot / Fractal VA and WidowX / Bridge success-rate suite numbers.
24,DAM-VLA: A Dynamic Action Model-Based Vision-Language-Action Framework for Robot Manipulation,2026,arXiv.org,n/a,n/a,n/a,2603.00926,2026-03-01,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2603.00926,Semantic Scholar citation graph; OpenAlex term search: SIMPLER Google Robot Bridge; OpenAlex term search: SIMPLER WidowX,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/00e28a1e92ca8700e282e74998a8a8a690f55e67; https://arxiv.org/abs/2603.00926; DOI 10.48550/arXiv.2603.00926; https://openalex.org/W7133365265,reports-results,google-fractal-vm; google-fractal-va; widowx-bridge,not reported,Google Robot / Fractal VM=83.0; Google Robot / Fractal VA=81.0; WidowX / Bridge=71.0,83.0,81.0,71.0,72.0,CogACT,62.0,CogACT,57.0,pi0* + (open-pi-zero),Suite-specific sortable columns record cleaned primary/best average or overall values from the full-text result audit.,high,not-found,,"The arXiv paper and Samsung Research blog report the tracked SIMPLER VM/VA/WidowX results, but neither source provides a code, model, release, drive, or model-hub download link. Exact-title GitHub searches and Hugging Face model searches for DAM-VLA returned no official repository or checkpoint, so no public artifact could be tied to the 83.0/81.0/71.0 tracked numbers.",high,Suite columns contain cleaned average/overall SimplerEnv result values as sortable floats without percent signs; blank suite cells were left blank when no clean value was found.,high,official-ish,"Reports standard SimplerEnv Google Robot / Fractal VM, Google Robot / Fractal VA, and WidowX / Bridge success-rate suite numbers."
