ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,CALVIN usage,Evaluation protocol,Demos per task,Reported benchmark numbers,ABC D average task completed,ABCD D average task completed,D D average task completed,ABC D 5/5 chain success rate,ABCD D 5/5 chain success rate,D D 5/5 chain success rate,DD previous SOTA ATC,DD previous SOTA name,ABCD previous SOTA ATC,ABCD previous SOTA name,ABCDD previous SOTA ATC,ABCDD previous SOTA name,ABCD previous SOTA 5/5 chain success rate,ABCDD previous SOTA 5/5 chain success rate,DD previous SOTA 5/5 chain success rate,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
11,AnySlot: Goal-Conditioned Vision-Language-Action Policies for Zero-Shot Slot-Level Placement,2026,preprint/unknown,n/a,n/a,n/a,2604.10432,2026-04-12,arXiv API published date for 2604.10432,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/a3ab544fbbfa38648790cf4a967975bb162cf8a8; Semantic Scholar: a3ab544fbbfa38648790cf4a967975bb162cf8a8,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
12,A Pragmatic VLA Foundation Model,2026,arXiv.org,n/a,n/a,n/a,2601.18692,2026-01-26,arXiv API published date for 2601.18692,10.48550/arXiv.2601.18692,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/f1075e309a82e46aaca3f03bf70697219e17604a; Semantic Scholar: f1075e309a82e46aaca3f03bf70697219e17604a,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
13,A survey of robotic manipulation: From bottom-up approaches to end-to-end paradigms with LLMs,2026,Neurocomputing,n/a,n/a,n/a,,n/a,n/a,10.1016/j.neucom.2026.132921,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/9d817b67e14c94d4b0f3b98d5f2b035b7e00d84f; Semantic Scholar: 9d817b67e14c94d4b0f3b98d5f2b035b7e00d84f,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
14,Atomic-Probe Governance for Skill Updates in Compositional Robot Policies,2026,preprint/unknown,n/a,n/a,n/a,2604.26689,2026-04-29,arXiv API published date for 2604.26689,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/27c9ab0827bbfbed9d444df665d441f663943801; Semantic Scholar: 27c9ab0827bbfbed9d444df665d441f663943801,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
15,AtomicVLA: Unlocking the Potential of Atomic Skill Learning in Robots,2026,preprint/unknown,Accepted by CVPR2026,arXiv comment,low,2603.07648,2026-03-08,OpenAlex/arXiv location metadata for 2603.07648,10.48550/arxiv.2603.07648,OpenAlex term search - CALVIN benchmark robot; OpenAlex term search - CALVIN robot topic; Semantic Scholar citation graph; Wizwand/PapersWithCode CALVIN ABCD D average-task leaderboard; arXiv term search - CALVIN; arXiv term search - CALVIN benchmark robot,CALVIN RA-L DOI; CALVIN abcd-d average task completion result entry; CALVIN arXiv ID; CALVIN term/full-text metadata match; CALVIN term/metadata match,indexed-citation,http://arxiv.org/abs/2603.07648; https://arxiv.org/abs/2603.07648; https://openalex.org/W7134820098; https://www.semanticscholar.org/paper/a5f3a7b776edce9cae0fe0ff86e6130f840610d4; https://www.wizwand.com/paper/69afa58a2d603e6de3e43a9d; https://arxiv.org/abs/2603.07648; OpenAlex: W7134820098; OpenAlex: W7134861210; Semantic Scholar: a5f3a7b776edce9cae0fe0ff86e6130f840610d4; Wizwand paper: 69afa58a2d603e6de3e43a9d,reports-results,abc-d,not reported,ABC D average task completed=4.09,4.09,,,69.1,,,,,4.02,pi0.5,,,71.0,,,https://arxiv.org/html/2603.07648 Table 2 labels AtomicVLA under CALVIN ABC -> D and reports Avg.Len. 4.09; the starred AtomicVLA* variant is 4.27.,high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,https://arxiv.org/html/2603.07648 Table 2 labels AtomicVLA under CALVIN ABC -> D and reports Avg.Len. 4.09; the starred AtomicVLA* variant is 4.27.,high,official-ish,"Table 2 labels AtomicVLA under CALVIN ABC->D and reports Avg.Len. 4.09, which is the standard long-horizon metric."
16,BagelVLA: Enhancing Long-Horizon Manipulation via Interleaved Vision-Language-Action Generation,2026,arXiv.org,n/a,n/a,n/a,2602.09849,2026-02-10,arXiv API published date for 2602.09849,10.48550/arXiv.2602.09849,Semantic Scholar citation graph; Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard,CALVIN RA-L DOI; CALVIN abc-d average task completion result entry; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/8ea0bef0edddfcec272b3200c8ccc8775fdb1744; https://www.wizwand.com/paper/698c0d22c97a0b3e3b5e11ce; https://arxiv.org/abs/2602.09849; Semantic Scholar: 8ea0bef0edddfcec272b3200c8ccc8775fdb1744; Wizwand paper: 698c0d22c97a0b3e3b5e11ce,reports-results,abc-d,not reported,ABC D average task completed=4.405,4.405,,,74.1,,,,,4.33,VPP,,,76.9,,,ABC D: BagelVLA Average Successful Length=4.405 via Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard (https://www.wizwand.com/sota/robot-manipulation-on-calvin-abc-d); ABC D: BagelVLA Average Successful Length=3.345 via Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard (https://www.wizwand.com/sota/robot-manipulation-on-calvin-abc-d),medium,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,ABC D: BagelVLA Average Successful Length=4.405 via Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard (https://www.wizwand.com/sota/robot-manipulation-on-calvin-abc-d); ABC D: BagelVLA Average Successful Length=3.345 via Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard (https://www.wizwand.com/sota/robot-manipulation-on-calvin-abc-d),medium,official-ish,"The row records CALVIN ABC-D Average Successful Length via the leaderboard, an official-style long-horizon ATC metric, though the evidence has conflicting values."
17,Being-H0.7: A Latent World-Action Model from Egocentric Videos,2026,preprint/unknown,n/a,n/a,n/a,2605.00078,2026-04-30,arXiv API published date for 2605.00078,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/da48590e0c67de7450fda928052386e6baf9a4d1; Semantic Scholar: da48590e0c67de7450fda928052386e6baf9a4d1,reports-results,abc-d; abcd-d,not reported,Table 1 reports Being-H0.7 CALVIN ABCD->D Avg. Len. 4.67 and ABC->D Avg. Len. 4.48.,4.48,4.67,,,,,,,4.48,Being-H0.5,4.63,UniVLA; Being-H0.5,,,,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2605.00078.txt, Table 1.",high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2605.00078.txt, Table 1.",high,official-ish,"Table 1 reports CALVIN ABCD->D Avg. Len. 4.67 and ABC->D Avg. Len. 4.48, both standard official-style splits."
18,Benchmarking Affordance Generalization with BusyBox,2026,arXiv.org,n/a,n/a,n/a,2602.05441,2026-02-05,arXiv API published date for 2602.05441,10.48550/arXiv.2602.05441,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/fb44a7dc013849b42adb48b045833fce54cb547a; Semantic Scholar: fb44a7dc013849b42adb48b045833fce54cb547a,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
19,BiCoord: A Bimanual Manipulation Benchmark towards Long-Horizon Spatial-Temporal Coordination,2026,preprint/unknown,n/a,n/a,n/a,2604.05831,2026-04-07,arXiv API published date for 2604.05831,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/5b6dd99a3563155a9e52e4e407c1de8c9c0bebb6; Semantic Scholar: 5b6dd99a3563155a9e52e4e407c1de8c9c0bebb6,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
20,CF-VLA: Efficient Coarse-to-Fine Action Generation for Vision-Language-Action Policies,2026,arXiv.org,n/a,n/a,n/a,2604.24622,2026-04-27,OpenAlex/arXiv location metadata for 2604.24622,10.48550/arxiv.2604.24622,OpenAlex term search - CALVIN benchmark robot; OpenAlex term search - CALVIN robot topic; Semantic Scholar citation graph; arXiv term search - CALVIN; arXiv term search - CALVIN benchmark robot,CALVIN RA-L DOI; CALVIN arXiv ID; CALVIN term/full-text metadata match; CALVIN term/metadata match,indexed-citation,https://arxiv.org/abs/2604.24622; https://doi.org/10.48550/arxiv.2604.24622; https://www.semanticscholar.org/paper/32e05c650a092cb42f146a31ee66de9677acff6d; OpenAlex: W7157261871; OpenAlex: W7159546937; Semantic Scholar: 32e05c650a092cb42f146a31ee66de9677acff6d,reports-results,d-d,not reported,D D average task completed=3.67,,,3.67,,,57.3,3.72,LightDP,,,,,,,55.6,"https://arxiv.org/html/2604.24622 Tables 2 and 4 report CF-VLA full Avg.Len. 3.67 in a CALVIN long-horizon table whose baselines match D-D values, including DTP 3.55.",medium,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"https://arxiv.org/html/2604.24622 Tables 2 and 4 report CF-VLA full Avg.Len. 3.67 in a CALVIN long-horizon table whose baselines match D-D values, including DTP 3.55.",medium,official-ish,"Tables 2 and 4 report CALVIN long-horizon D->D Avg.Len. 3.67 with baselines matching D->D values, so it is comparable to the standard protocol."
21,Chain Of Interaction Benchmark (COIN): When Reasoning meets Embodied Interaction,2026,preprint/unknown,n/a,n/a,n/a,2604.16886,2026-04-18,arXiv API published date for 2604.16886,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/2db8fd1b4f178a7dbd71e84617d69132942bc5eb; Semantic Scholar: 2db8fd1b4f178a7dbd71e84617d69132942bc5eb,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
22,Chain of World: World Model Thinking in Latent Motion,2026,preprint/unknown,n/a,n/a,n/a,2603.03195,2026-03-03,arXiv API published date for 2603.03195,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/f9234e389eba3db0a85bc24b388d9fc7dc6249ff; Semantic Scholar: f9234e389eba3db0a85bc24b388d9fc7dc6249ff,reports-results,abc-d; abcd-d,not reported,Table 2 reports Ours Avg. Len. 4.473 on ABCD->D and 4.211 on ABC->D.,4.211,4.473,,70.8,80.9,,,,4.102,UniVLA reimplementation,4.398,UniVLA reimplementation,66.1,76.4,,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2603.03195.txt, Table 2.",high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2603.03195.txt, Table 2.",high,official-ish,"Table 2 reports CALVIN ABCD->D Avg. Len. 4.473 and ABC->D Avg. Len. 4.211, both official-style long-horizon splits."
23,Choose What to Observe: Task-Aware Semantic-Geometric Representations for Visuomotor Policy,2026,preprint/unknown,n/a,n/a,n/a,2603.07875,2026-03-09,arXiv API published date for 2603.07875,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/9e8f488f9a6d5b2e06453507bfb87628bbb35b57; Semantic Scholar: 9e8f488f9a6d5b2e06453507bfb87628bbb35b57,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
24,Demystifying Action Space Design for Robotic Manipulation Policies,2026,arXiv.org,n/a,n/a,n/a,2602.23408,2026-02-26,arXiv API published date for 2602.23408,10.48550/arXiv.2602.23408,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/61e4f567f308f74493ad77ddb51e6607b1cceec6; Semantic Scholar: 61e4f567f308f74493ad77ddb51e6607b1cceec6,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
