ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,OpenAlex arXiv cited-by count,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboCasa usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RSS24 reported success rate,RoboCasa365 reported success rate,GR1 reported success rate,RSS24 previous SOTA success rate,RSS24 previous SOTA name,RoboCasa365 previous SOTA success rate,RoboCasa365 previous SOTA name,GR1 previous SOTA success rate,GR1 previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
11,AffordGen: Generating Diverse Demonstrations for Generalizable Object Manipulation with Afford Correspondence,2026,preprint/unknown,n/a,n/a,n/a,2604.10579,,2026-04-12,arXiv API published date,,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/6becaad48b2d9ad276aad4b39febb0058282ad90,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa is cited in the related work/reference list only; no RoboCasa metric is reported.,high,,
12,AffordSim: A Scalable Data Generator and Benchmark for Affordance-Aware Robotic Manipulation,2026,preprint/unknown,n/a,n/a,n/a,2604.11674,,2026-04-13,arXiv API published date,,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/1adbe7f56d7a64a14e86c54f8156b0357ee8a4a9,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Sec. 2.1 discusses RoboCasa as a simulation platform in related work; no RoboCasa experiment/result for AffordSim.,high,,
13,AI Technologies in the Field of Space Robotics: A Review,2026,Advances in Astronautics,Advances in Astronautics,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.1007/s42423-026-00209-6,OpenAlex citation graph,RoboCasa RSS DOI 10.15607/RSS.2024.XX.050,indexed-citation,https://openalex.org/W7147021002; OpenAlex: W7147021002,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,No full text or draft contexts available in the audit bundle.,low,,
14,ALRM: Agentic LLM for Robotic Manipulation,2026,arXiv.org,n/a,n/a,n/a,2601.19510,,2026-01-27,arXiv API published date,10.48550/arXiv.2601.19510,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7126001286; OpenAlex: W7126001286,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Background comparison notes RoboCasa has 100 kitchen tasks; own ALRM benchmark/results are separate and do not report RoboCasa metrics.,high,,
15,Atomic-Probe Governance for Skill Updates in Compositional Robot Policies,2026,ArXiv.org,n/a,n/a,n/a,2604.26689,,2026-04-29,arXiv API published date,,OpenAlex term search: RoboCasa,"term match; manual audit: mention/unrelated term only, no formal RoboCasa citation confirmed",term-only,https://openalex.org/W7159734540; OpenAlex: W7159734540,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
16,AugVLA-3D: Depth-Driven Feature Augmentation for Vision-Language-Action Models,2026,ArXiv.org,n/a,n/a,n/a,2602.10698,,2026-02-11,arXiv API published date,,OpenAlex term search: RoboCasa,"term match; manual audit: mention/unrelated term only, no formal RoboCasa citation confirmed",term-only,https://openalex.org/W7128745195; OpenAlex: W7128745195,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
17,LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries,2026,arXiv (Cornell University),n/a,Local title page states 'Work in progress'; arXiv API comment and journal_ref are blank; web search did not find an accepted venue.,n/a,2601.15197,0,2026-01-21,arXiv API for 2601.15197 returned latest 2601.15197v5 with original published timestamp 2026-01-21T17:15:22Z.,10.48550/arXiv.2601.15197,OpenAlex term search: RoboCasa; manual full-text audit; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,term match; manual full-text audit: cites RoboCasa original/RSS; RoboCasa arXiv 2406.02523,indexed-citation,https://openalex.org/W7125459461; OpenAlex: W7125459461; https://openalex.org/W7125414767; OpenAlex: W7125414767,reports-results,gr1,not reported,Table 4 RoboCasa Tabletop/GR1 average success (%): LangForce + Qwen3VL 52.6; QwenOFT + Qwen3VL 48.8; Isaac-GR00T N1.5 48.2; QwenGR00T + Qwen3VL 47.8; Isaac-GR00T N1.6 47.6; VisionOnly QwenGR00T 44.7; QwenPI 44.3; QwenFAST 41.1. Table group avgs include PnP * to * Close: LangForce 55.7 vs VisionOnly 54.0 and QwenGR00T 50.3.,,,52.6,,,,,48.8,QwenOFT + Qwen3VL,"Local text /tmp/robocasa_protocol_audit/txt/63_https_arxiv.org_pdf_2601.15197.txt, Sec. 4.3/Table 4 'GR1 robot in the RoboCasa Tabletop simulation environment' and surrounding paragraph explicitly states LangForce average 52.6 and key baselines.",high,weight-but-not-for-number,,"Official repo https://github.com/ZGC-EmbodyAI/LangForce reports the RoboCasa 52.6 LangForce result but provides training scripts/placeholders, not a downloadable LangForce RoboCasa checkpoint.; The LangForce GitHub page shows no releases published.; StarVLA publishes related RoboCasa-GR1 checkpoints such as https://huggingface.co/StarVLA/Qwen3-VL-GR00T-Robocasa-gr1, but this is a StarVLA/QwenGR00T related baseline/model-family checkpoint, not identified as the LangForce 52.6 checkpoint. Notes: Related StarVLA RoboCasa-GR1 weights may reproduce StarVLA/QwenGR00T-style numbers, but not the tracked LangForce proposed-method result.",medium,Sec. 4.3 evaluates on the RoboCasa GR1 Tabletop Manipulation Benchmark; Table 4 reports success rates for GR1 robot RoboCasa tabletop tasks. Merged duplicate row 63: Section 4.3 evaluates on the RoboCasa GR1 Tabletop Manipulation Benchmark with 24 tasks and 50 trials per task; Table 4 reports LangForce average success rate 52.6% versus QwenOFT 48.8 and QwenGR00T 47.8.,high,official-ish,"Reports RoboCasa GR1/Tabletop benchmark success rates over the standard 24 tasks, including a 52.6% average for LangForce."
18,Being-H0.5: Scaling Human-Centric Robot Learning for Cross-Embodiment Generalization,2026,arXiv.org,n/a,arXiv API comment only says '44 pages' and journal_ref is blank; no accepted venue found in local text or web search.,n/a,2601.12993,0,2026-01-19,arXiv API for 2601.12993 returned 2601.12993v1 published 2026-01-19T12:20:38Z.,10.48550/arXiv.2601.12993,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,"https://openalex.org/W7125276686; OpenAlex: W7125276686, W7125351510",reports-results,rss24,50 human demonstrations per task,"Table 5 RoboCasa 24-task success (%): Being-H0.5 specialist Total Avg 53.9 (Pick&Place 36, Doors/Drawers 71.7, Others 57.6); Being-H0.5 generalist Total Avg 53.3 (Pick&Place 40, Doors/Drawers 73, Others 52). Baselines: pi0 42.4; pi0.5 41.4; GWM 39.3; GR00T-N1 36.0; BC 28.9; DP3 22.8; 3DA 5.5.",53.9,,,42.4,pi0,,,,,"Local text /tmp/robocasa_protocol_audit/txt/18_https_arxiv.org_pdf_2601.12993.txt, abstract and Sec. 7.2.2/Table 5 'Success rates (%) on the RoboCasa 24-task benchmark'; setup states Human-50, 50 trials/task across five held-out scenes.",high,number-associated weight available,https://huggingface.co/BeingBeyond/Being-H05-2B_robocasa; https://huggingface.co/BeingBeyond/Being-H05-2B_libero_robocasa,"Official project page https://research.beingbeyond.com/being-h05 reports RoboCasa Human-50 specialist 53.9 and generalist 53.3, matching the tracked table values.; Official Hugging Face collection https://huggingface.co/collections/BeingBeyond/being-h05 lists Being-H05-2B_robocasa as post-trained on RoboCasa and Being-H05-2B_libero_robocasa as post-trained on LIBERO plus RoboCasa.; Hugging Face API/file listings show both repositories are public, non-gated, and include model.safetensors plus RoboCasa/general post-training metadata. Notes: These are number-associated post-trained checkpoints for the specialist and generalist RoboCasa rows; no large weights were downloaded.",high,Sec. 7.2.2/Table 5 reports success rates on the RoboCasa 24-task benchmark; setup states the Human-50 few-shot setting uses 50 human demonstrations per task.,high,official-ish,"Reports standard RoboCasa 24-task Human-50 success rates, including a 53.9% average for the Being-H0.5 specialist."
19,Being-H0.7: A Latent World-Action Model from Egocentric Videos,2026,arXiv (Cornell University),n/a,arXiv API comment and journal_ref are blank; local text and web search did not show an accepted venue.,n/a,2605.00078,,2026-04-30,arXiv API for 2605.00078 returned 2605.00078v1 published 2026-04-30T14:16:15Z.,,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7160360051; OpenAlex: W7160360051,reports-results,rss24; gr1,50 human demonstrations per task; 1000 demonstrations per task,Table 1 benchmark comparison: Being-H0.7 reports RoboCasa-50 62.1 and GR1 49.2. Key baselines for RoboCasa-50: Cosmos-Policy 67.1; Being-H0.5 53.5; UVA 50.0; UWM 48.2; pi0 42.4; pi0.5 41.4; gr00t-N1.6 36.0. Key GR1 baselines: ABot-M0 58.3; starVLA 48.8; gr00t-N1.6 47.6.,62.1,,49.2,67.1,Cosmos-Policy,,,58.3,ABot-M0,"Local text /tmp/robocasa_protocol_audit/txt/19_https_arxiv.org_pdf_2605.00078.txt, Table 1 'Benchmark comparison on multiple embodied manipulation tasks' and Sec. 4.2.2 text; setup describes RoboCasa 50 demos/task and GR1 1000 demos/task.",high,coming-soon-no-download-link,,"Official Being-H repo https://github.com/BeingBeyond/Being-H says Being-H0.7 code and checkpoints are coming soon.; The Being-H07 directory contains only a README; no downloadable checkpoint or model file is present.; Official project page https://research.beingbeyond.com/being-h07 links paper/code only, and Hugging Face author search for BeingBeyond H07 returned no model repositories. Notes: Being-H0.5 checkpoints do not count for the Being-H0.7 RoboCasa-50 or GR1 numbers.",high,Table 1 reports both RoboCasa-50 and GR1 columns; benchmark description says RoboCasa uses 50 human demonstrations per task and GR1 uses 1000 demonstrations per task.,high,official-ish,"Reports comparable RoboCasa-50/RSS24 and RoboCasa-GR1 success-rate numbers, including 62.1% and 49.2% respectively."
20,Beyond Imitation: Reinforcement Learning-Based Sim-Real Co-Training for VLA Models,2026,arXiv.org,n/a,n/a,n/a,2602.12628,,2026-02-13,arXiv API published date,10.48550/arXiv.2602.12628,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7129180407; OpenAlex: W7129180407,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only as a cited reference; no RoboCasa experiment/result is present.,high,,
21,Beyond Short-Horizon: VQ-Memory for Robust Long-Horizon Manipulation in Non-Markovian Simulation Benchmarks,2026,ArXiv.org,n/a,n/a,n/a,2603.09513,,2026-03-10,arXiv API published date,,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7134992815; OpenAlex: W7134992815,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Related work says benchmarks such as GenSim and RoboCasa enrich task diversity; RuleSafe/VQ-Memory experiments do not report RoboCasa metrics.,high,,
22,BiCoord: A Bimanual Manipulation Benchmark towards Long-Horizon Spatial-Temporal Coordination,2026,ArXiv.org,n/a,n/a,n/a,2604.05831,,2026-04-07,arXiv API published date,,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7152933839; OpenAlex: W7152933839,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears in the bibliography/reference context only; no BiCoord result on RoboCasa.,high,,
23,BiManiBench: A Hierarchical Benchmark for Evaluating Bimanual Coordination of Multimodal Large Language Models,2026,arXiv (Cornell University),n/a,n/a,n/a,2602.08392,,2026-02-09,arXiv API published date,,OpenAlex term search: RoboCasa; manual full-text audit,term match; manual full-text audit: cites RoboCasa arXiv 2406.02523,manual-citation,https://openalex.org/W7128554909; OpenAlex: W7128554909,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa is cited in related work/reference list only; no RoboCasa evaluation is reported.,high,,
24,Capturing Visual Environment Structure Correlates with Control Performance,2026,arXiv.org,ICLR 2026,Local PDF says 'Published as a conference paper at ICLR 2026'; ICLR virtual poster page lists the paper as an ICLR 2026 poster.,high,2602.04880,,2026-02-04,arXiv API for 2602.04880 returned 2602.04880v1 published 2026-02-04T18:59:12Z.,10.48550/arXiv.2602.04880,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7128097501; OpenAlex: W7128097501,reports-results,rss24,50 demonstrations per task; 50 human demonstrations per task,RoboCasa policy success/proxy results. Figure 3 RoboCasa averaged success by visual backbone: ResNet-IN 0.304; R3M 0.278; ViT-IN 0.271; MoCoV3 0.280; DINOv1 0.320; DINOv2 0.307; MAE 0.265; CLIP 0.292; Stable Diffusion 0.285. Figure 4/Table 1 RoboCasa proxy correlation: Ours MMRV 0.010 and Pearson r 0.760; Few-Shot MMRV 0.028/r 0.243; Action MSE 0.041/r -0.340; Segmentation 0.023/r 0.527; Depth 0.035/r 0.083.,,,,,,,,,,"Local text /tmp/robocasa_protocol_audit/txt/24_https_arxiv.org_pdf_2602.04880.txt, Figures 3-4 and Table 1, plus Sec. 4 protocol: RoboCasa uses 50 human demos/task and success over 100 rollouts/task.",high,coming-soon-no-download-link,,"Paper text says code and models are available at the project page.; Official project page https://dongjiahua.github.io/CVESC/ has disabled buttons labeled Code (Coming Soon) and Models (Coming Soon).; No GitHub, Hugging Face, ModelScope, checkpoint, or model download link is exposed by the project page. Notes: The paper evaluates off-the-shelf visual backbones and RoboCasa policies/proxies, but no released author model or policy weights are tied to the tracked RoboCasa numbers.",high,Sec. 4 describes RoboCasa as one of three simulation environments and reports policy success correlations; setup states 50 demonstrations per task and the official RoboCasa 50 human demonstrations per task.,high,official-ish,Reports RoboCasa manipulation success rates using the official 50 human demonstrations per task and 100 rollouts per task; proxy-correlation metrics are additional.
25,Co-generation of Layout and Shape from Text via Autoregressive 3D Diffusion,2026,preprint/unknown,n/a,n/a,n/a,2604.16552,,2026-04-17,arXiv API published date,,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/5b39eea77c08a5ce95991bb7a55b7f5c81a279e7,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only in references/background; no Layout-and-Shape result on RoboCasa.,high,,
26,CoEnv: Driving Embodied Multi-Agent Collaboration via Compositional Environment,2026,preprint/unknown,n/a,n/a,n/a,2604.05484,,2026-04-07,arXiv API published date,,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/297c2a051fd72df90e1fcfadc695806e2fafb9ae,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa is cited as prior work in references; no CoEnv RoboCasa evaluation result.,high,,
