ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,LIBERO usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Spatial,Object,Goal,Long/10,Spatial previous SOTA success rate,Spatial previous SOTA name,Object previous SOTA success rate,Object previous SOTA name,Goal previous SOTA success rate,Goal previous SOTA name,Long/10 previous SOTA success rate,Long/10 previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
11,"US 4,786,659 Low warp filled acetals",1989,Additives for Polymers,Additives for Polymers,harvested source venue/status metadata,medium,,n/a,n/a,10.1016/0306-3747(89)90322-9,"OpenAlex term search: ""LIBERO-10""","OpenAlex term search matched '""LIBERO-10""'; manual citation audit required.",term-only,https://doi.org/10.1016/0306-3747(89)90322-9; https://openalex.org/W4241362839,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
12,"US 4,786,663 Fire retardant resin composition",1989,Additives for Polymers,Additives for Polymers,harvested source venue/status metadata,medium,,n/a,n/a,10.1016/0306-3747(89)90323-0,"OpenAlex term search: ""LIBERO-10""","OpenAlex term search matched '""LIBERO-10""'; manual citation audit required.",term-only,https://doi.org/10.1016/0306-3747(89)90323-0; https://openalex.org/W4239680015,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
13,"US 4,786,673 Fire retardant nylons",1989,Additives for Polymers,Additives for Polymers,harvested source venue/status metadata,medium,,n/a,n/a,10.1016/0306-3747(89)90326-6,"OpenAlex term search: ""LIBERO-10""","OpenAlex term search matched '""LIBERO-10""'; manual citation audit required.",term-only,https://doi.org/10.1016/0306-3747(89)90326-6; https://openalex.org/W4239400229,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
14,"US 4,797,436 Light stabilizers",1989,Additives for Polymers,Additives for Polymers,harvested source venue/status metadata,medium,,n/a,n/a,10.1016/0306-3747(89)90081-x,"OpenAlex term search: ""LIBERO-10""","OpenAlex term search matched '""LIBERO-10""'; manual citation audit required.",term-only,https://doi.org/10.1016/0306-3747(89)90081-x; https://openalex.org/W4213153050,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
15,"US 4,797,438 Stabilized gamma-irradiated polypropylene",1989,Additives for Polymers,Additives for Polymers,harvested source venue/status metadata,medium,,n/a,n/a,10.1016/0306-3747(89)90082-1,"OpenAlex term search: ""LIBERO-10""","OpenAlex term search matched '""LIBERO-10""'; manual citation audit required.",term-only,https://doi.org/10.1016/0306-3747(89)90082-1; https://openalex.org/W4236201861,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
16,"US 4,797,451 Solid polymeric stabilizer compounds",1989,Additives for Polymers,Additives for Polymers,harvested source venue/status metadata,medium,,n/a,n/a,10.1016/0306-3747(89)90084-5,"OpenAlex term search: ""LIBERO-10""","OpenAlex term search matched '""LIBERO-10""'; manual citation audit required.",term-only,https://doi.org/10.1016/0306-3747(89)90084-5; https://openalex.org/W4245248819,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
17,"US 4,797,455 Curing agent for epoxy resins",1989,Additives for Polymers,Additives for Polymers,harvested source venue/status metadata,medium,,n/a,n/a,10.1016/0306-3747(89)90085-7,"OpenAlex term search: ""LIBERO-10""","OpenAlex term search matched '""LIBERO-10""'; manual citation audit required.",term-only,https://doi.org/10.1016/0306-3747(89)90085-7; https://openalex.org/W4234765028,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
18,La idea de ciudad en la cultura hispana de la edad moderna,1992,Universitat de Barcelona. Edicions i Publicacions,Universitat de Barcelona. Edicions i Publicacions,harvested source venue/status metadata,medium,,n/a,n/a,,"CORE term search: ""LIBERO-10""","CORE full-text/metadata term match for '""LIBERO-10""'; manual citation audit required.",term-only,https://core.ac.uk/download/43551193.pdf; https://core.ac.uk/image/43551193/large; https://core.ac.uk/reader/43551193; https://core.ac.uk/works/14067480,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
19,Mitteilungen der Residenzen-Kommission der Akademie der Wissenschaften zu Göttingen,1994,Kiel,Kiel,harvested source venue/status metadata,medium,,n/a,n/a,10.26015/adwdocs-1671,"CORE term search: ""LIBERO-10""","CORE full-text/metadata term match for '""LIBERO-10""'; manual citation audit required.",term-only,https://core.ac.uk/download/268923023.pdf; https://core.ac.uk/image/268923023/large; https://core.ac.uk/reader/268923023; https://core.ac.uk/works/40536921; https://doi.org/10.26015/adwdocs-1671; https://rep.adw-goe.de/bitstream/11858/00-001S-0000-002D-B68E-2/1/MRK4-1.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
20,Nei cantieri della ricerca: incontri con Lucio Gambi,1997,Clueb,Clueb,harvested source venue/status metadata,medium,,n/a,n/a,10.6092/unibo/amsacta/879,"CORE term search: ""LIBERO-10""","CORE full-text/metadata term match for '""LIBERO-10""'; manual citation audit required.",term-only,http://amsacta.unibo.it/879/1/quaderni_11.pdf; https://core.ac.uk/download/143606168.pdf; https://core.ac.uk/image/143606168/large; https://core.ac.uk/reader/143606168; https://core.ac.uk/works/46327483; https://doi.org/10.6092/unibo/amsacta/879,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
21,Bridging Language and Action: A Survey of Language-Conditioned Robot Manipulation,2023,ArXiv.org,n/a,n/a,n/a,2312.10807,2023-12-17,OpenAlex/arXiv harvested publication-date metadata,10.48550/arxiv.2312.10807,"OpenAlex term search: ""LIBERO"" ""robot manipulation""; OpenAlex term search: ""LIBERO-Spatial""","OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Spatial""'; manual citation audit required.",term-only,http://arxiv.org/abs/2312.10807; https://arxiv.org/pdf/2312.10807; https://doi.org/10.48550/arxiv.2312.10807; https://openalex.org/W4389983797,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
22,Large Language Models for Robotics: A Survey,2023,arXiv (Cornell University),arXiv preprint,"arXiv abs/API https://arxiv.org/abs/2311.07226 lists first publication on 2023-11-13 and comment ""Preprint"" with no journal_ref.",high,2311.07226,2023-11-13,row-level public-source audit,10.48550/arxiv.2311.07226,"OpenAlex term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""LIBERO"" ""robot manipulation""; OpenAlex term search: ""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""; Semantic Scholar citation graph: arXiv 2306.03310","OpenAlex term search matched '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; OpenAlex term search matched '""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).",indexed-citation,http://arxiv.org/abs/2311.07226; https://arxiv.org/abs/2311.07226; https://arxiv.org/pdf/2311.07226; https://doi.org/10.48550/arXiv.2311.07226; https://doi.org/10.48550/arxiv.2311.07226; https://openalex.org/W4388685466; https://www.semanticscholar.org/paper/d3367dc9a7a1d7ae70a06eadc02b2430f4529f7c,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,arXiv PDF https://arxiv.org/pdf/2311.07226 discusses LIBERO as a dataset/benchmark in a survey table and cites Liu et al.; it does not run LIBERO evaluations or report this survey's LIBERO success rates.,high,,
23,Learning Generalizable Manipulation Policies with Object-Centric 3D Representations,2023,arXiv (Cornell University),Conference on Robot Learning (CoRL) 2023,"arXiv abs/API https://arxiv.org/abs/2310.14386 says accepted at the 7th Annual Conference on Robot Learning (CoRL), 2023.",high,2310.14386,2023-10-22,row-level public-source audit,10.48550/arxiv.2310.14386,"CORE term search: ""2306.03310""; CORE term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""2306.03310""; OpenAlex term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""LIBERO"" ""robot manipulation""; OpenAlex term search: ""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""; Semantic Scholar citation graph: arXiv 2306.03310","CORE full-text/metadata term match for '""2306.03310""'; manual citation audit required.; CORE full-text/metadata term match for '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""2306.03310""'; manual citation audit required.; OpenAlex term search matched '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; OpenAlex term search matched '""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).",indexed-citation,http://arxiv.org/abs/2310.14386; https://arxiv.org/abs/2310.14386; https://arxiv.org/pdf/2310.14386; https://core.ac.uk/works/152815133; https://doi.org/10.48550/arXiv.2310.14386; https://doi.org/10.48550/arxiv.2310.14386; https://openalex.org/W4387929106; https://www.semanticscholar.org/paper/1e57c49613cff3ca9b6c70b643491b542d31a0eb; audit note: Result columns left blank because the paper reports selected LIBERO tasks rather than raw original-suite averages.,reports-results,other,50 simulation demonstrations per task,"Table 1 reports GROOT success rates (%) on three selected LIBERO simulation tasks across canonical and generalization settings, averaged over three seeds. GROOT canonical rates are 80.0 +/- 8.2 for moka-pot-on-stove, 65.0 +/- 10.8 for frying-pan-on-stove, and 73.3 +/- 2.4 for mug repositioning; other GROOT settings range from 38.3 to 83.3 depending on task and perturbation.",,,,,,,,,,,,,Section 4.1 and Table 1 in arXiv PDF https://arxiv.org/pdf/2310.14386; the paper states it uses three simulation tasks from LIBERO and directly leverages 50 teleoperated demonstrations.,high,weight-but-not-for-number,,"Checked the GROOT project page, official UT-Austin-RPL/GROOT GitHub README/tree/releases, exact-title search, and Hugging Face model search. The official setup downloads third-party vision checkpoints such as XMem and SAM, but I found no public trained GROOT policy checkpoint tied to the selected LIBERO Table 1 task success rates.",high,"Section 4.1 of https://arxiv.org/pdf/2310.14386 names the three LIBERO tasks and Table 1 reports task success rates; these are selected tasks/generalization settings, not the original Spatial/Object/Goal/Long suites.",high,otherwise,"Reports success rates on three selected LIBERO simulation tasks and generalization variants, not an original LIBERO suite average."
24,LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning,2023,arXiv (Cornell University),NeurIPS 2023 Datasets and Benchmarks Track,Official NeurIPS proceedings page and DBLP record,high,2306.03310,2023-06-05,OpenAlex/arXiv harvested publication-date metadata,10.48550/arxiv.2306.03310,"CORE term search: ""2306.03310""; CORE term search: ""LIBERO benchmark"" robot; CORE term search: ""LIBERO-90""; CORE term search: ""LIBERO-Goal""; CORE term search: ""LIBERO-Long""; CORE term search: ""LIBERO-Object""; CORE term search: ""LIBERO-Spatial""; OpenAlex term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""LIBERO"" ""robot manipulation""; OpenAlex term search: ""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""; OpenAlex term search: ""libero-project.github.io""; arXiv API term search: all:2306.03310; seed identity: OpenAlex W4379919389; seed identity: OpenAlex W7133220882","CORE full-text/metadata term match for '""2306.03310""'; manual citation audit required.; CORE full-text/metadata term match for '""LIBERO benchmark"" robot'; manual citation audit required.; CORE full-text/metadata term match for '""LIBERO-90""'; manual citation audit required.; CORE full-text/metadata term match for '""LIBERO-Goal""'; manual citation audit required.; CORE full-text/metadata term match for '""LIBERO-Long""'; manual citation audit required.; CORE full-text/metadata term match for '""LIBERO-Object""'; manual citation audit required.; CORE full-text/metadata term match for '""LIBERO-Spatial""'; manual citation audit required.; OpenAlex term search matched '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; OpenAlex term search matched '""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""'; manual citation audit required.; OpenAlex term search matched '""libero-project.github.io""'; manual citation audit required.; arXiv metadata matched query 'all:2306.03310'; manual citation audit required.; seed work/version for LIBERO",seed-work,http://arxiv.org/abs/2306.03310; https://arxiv.org/abs/2306.03310; https://arxiv.org/pdf/2306.03310; https://core.ac.uk/works/143188279; https://doi.org/10.48550/arxiv.2306.03310; https://doi.org/10.52202/075280-1939; https://openalex.org/W4379919389; https://openalex.org/W7133220882,seed-work,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Canonical LIBERO seed paper and benchmark release.,n/a,,
25,MimicPlay: Long-Horizon Imitation Learning by Watching Human Play,2023,Conference on Robot Learning,Conference on Robot Learning (CoRL) 2023 oral,OpenReview https://openreview.net/forum?id=hRZ1YjDZmTo lists CoRL 2023 Oral; arXiv abs/API https://arxiv.org/abs/2302.12422 lists the same venue comment.,high,2302.12422,2023-02-24,row-level public-source audit,10.48550/arXiv.2302.12422,"CORE term search: ""LIBERO benchmark"" robot; Semantic Scholar citation graph: arXiv 2306.03310","CORE full-text/metadata term match for '""LIBERO benchmark"" robot'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).",indexed-citation,http://arxiv.org/abs/2302.12422; https://arxiv.org/abs/2302.12422; https://core.ac.uk/works/152056108; https://doi.org/10.48550/arXiv.2302.12422; https://www.semanticscholar.org/paper/a68db57f08f6d72c0d3b22d451d2606dca880f94; audit note: First arXiv date corrected from the input batch's update date.,reports-results,other,20 demonstrations per task; also uses a 40-demonstration setting for sample-efficiency experiments,"Appendix Table 4 reports simulation LIBERO success rates over 5 seeds and 100 testing trials. Ours (0% human), reported as fractions: subgoal Task 1-5 = 0.92 +/- 0.06, 0.70 +/- 0.05, 0.80 +/- 0.07, 0.74 +/- 0.11, 0.78 +/- 0.04; long-horizon Task 1-5 = 0.58 +/- 0.04, 0.29 +/- 0.10, 0.62 +/- 0.11, 0.59 +/- 0.05, 0.67 +/- 0.09.",,,,,,,,,,,,,Appendix C and Table 4 in arXiv PDF https://arxiv.org/pdf/2302.12422; Appendix B states the robot-demo count and Appendix C says the LIBERO simulation experiment uses 5 seeds and 100 testing trials.,high,number-associated weight available,https://drive.google.com/drive/folders/12d33vJKKi6IbECf5wcFfhCGjCzBojTvU?usp=sharing,Checked the project page and official j96w/MimicPlay README. The README has a Trained Checkpoints section linking this Google Drive folder and states the released checkpoints correspond to the simulation MimicPlay(0-human) comparison in the paper appendix; the Drive landing page is titled mimicplay_release_checkpoints and lists .pth files. Large checkpoint files were not downloaded.,high,Appendix C of https://arxiv.org/pdf/2302.12422 says the authors conduct an experiment in simulation LIBERO and Table 4 reports numerical success rates.,high,otherwise,"Reports custom simulation subgoal and long-horizon LIBERO tasks for MimicPlay rather than the original Spatial, Object, Goal, or Long/10 suites."
26,MUTEX: Learning Unified Policies from Multimodal Task Specifications,2023,Conference on Robot Learning,Conference on Robot Learning (CoRL) 2023,arXiv abs/API https://arxiv.org/abs/2309.14320 says accepted at the 7th Conference on Robot Learning (CoRL 2023); project page https://ut-austin-rpl.github.io/MUTEX/ also lists CoRL 2023.,high,2309.14320,2023-09-25,row-level public-source audit,10.48550/arXiv.2309.14320,"CORE term search: ""LIBERO benchmark"" robot; Semantic Scholar citation graph: arXiv 2306.03310","CORE full-text/metadata term match for '""LIBERO benchmark"" robot'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).",indexed-citation,http://arxiv.org/abs/2309.14320; https://arxiv.org/abs/2309.14320; https://core.ac.uk/works/148088054; https://doi.org/10.48550/arXiv.2309.14320; https://www.semanticscholar.org/paper/bfd9465dc8060572b7a1d9a5cddb732a7c185356; audit note: Not placed in the four original-suite columns because the reported benchmark is a LIBERO-100-derived multimodal task-specification dataset.,reports-results,other,50 simulated demonstrations per task; 30 real-world demonstrations per task,"Table 1 reports simulation success rates on a multimodal task-specification dataset based on LIBERO-100. MUTEX rates: Text Goal 50.1 +/- 7.8, Text Instructions 53.0 +/- 2.2, Image Goal 61.6 +/- 6.4, Video Demonstration 63.2 +/- 6.3, Speech Goal 40.9 +/- 8.1, Speech Instructions 46.0 +/- 5.2. Table 3 reports MUTEX Image Goal + Text Goal at 59.2.",,,,,,,,,,,,,Section 3.3/4 and Tables 1-3 in arXiv PDF https://arxiv.org/pdf/2309.14320; the paper says the simulation tasks extend LIBERO-100 and are annotated with 50 demonstrations per task.,high,number-associated weight available,https://utexas.box.com/s/7boowsyjpezcb0h59lz800rejx7yyvn5,Checked the MUTEX project page and official UT-Austin-RPL/mutex README. The README links Pretrained Weights and its evaluation section says the cross-modal matching epoch 20 model is used in the paper; the Box landing metadata exposes a public Mutex_Models/mutex_pretrained folder with 12 files. Large files were not downloaded.,high,"Section 3.3 of https://arxiv.org/pdf/2309.14320 states the simulation dataset extends LIBERO-100, and Section 4 reports success rates on that dataset.",high,otherwise,"Reports success rates on a LIBERO-100-derived multimodal task-specification dataset, not the standard original LIBERO suites."
